New ID,ID,Bulan,Tanggal,Harga Beras,Harga Daging Ayam,Harga Daging Sapi,Harga Telor Ayam,Harga Bawang merah,Harga Bawang Putih,Harga Cabai Merah,Harga Cabai Rawit,Harga Minyak Goreng,Harga Gula Pasir,Harga Rata Rata Sembako
161,108,,12/04/2021,11800 ,37650 ,122850 ,25800 ,34250 ,30200 ,52350 ,70400 ,14800 ,14250 ,41435 
162,109,,13/04/2021,11800 ,37800 ,123200 ,25950 ,34200 ,30100 ,52050 ,69750 ,14800 ,14250 ,41390 
163,110,,14/04/2021,11800 ,37800 ,122850 ,26100 ,34200 ,30150 ,52850 ,69500 ,14800 ,14250 ,41430 
164,111,Apr,15/04/2021,11800 ,37800 ,122450 ,26150 ,34200 ,30200 ,53250 ,70000 ,14800 ,14250 ,41490 
165,112,,16/04/2021,11800 ,37750 ,122050 ,26150 ,34150 ,30200 ,52650 ,71300 ,14800 ,14250 ,41510 
166,,,4/17/2021,11790 ,37500 ,121980 ,26210 ,34090 ,30180 ,51300 ,68000 ,14830 ,14250 ,41013 
167,,,4/18/2021,11790 ,37500 ,121980 ,26210 ,34090 ,30180 ,51300 ,68000 ,14830 ,14250 ,41013 
168,113,,19/04/2021,11800 ,37300 ,121750 ,26250 ,34050 ,30200 ,50050 ,65900 ,14850 ,14250 ,40640 
169,114,,20/04/2021,11750 ,37150 ,121650 ,26300 ,33950 ,30100 ,49250 ,64800 ,14850 ,14250 ,40405 
170,115,,21/04/2021,11750 ,36900 ,121750 ,26300 ,33850 ,30100 ,48600 ,63250 ,14850 ,14250 ,40160 
171,116,,22/04/2021,11800 ,36750 ,121750 ,26300 ,33700 ,30150 ,47250 ,61700 ,14850 ,14250 ,39850 
172,117,,23/04/2021,11750 ,36550 ,121850 ,26250 ,33650 ,30250 ,46200 ,60550 ,14850 ,14250 ,39615 
173,,,4/24/2021,11760 ,36350 ,121830 ,26200 ,33480 ,30210 ,44640 ,58880 ,14880 ,14250 ,39248 
174,,,4/25/2021,11760 ,36350 ,121830 ,26200 ,33480 ,30210 ,44640 ,58880 ,14880 ,14250 ,39248 
175,118,,26/04/2021,11750 ,36150 ,121850 ,26150 ,33300 ,30250 ,43100 ,57050 ,14900 ,14250 ,38875 
176,119,,27/04/2021,11750 ,35950 ,121850 ,26100 ,33250 ,30200 ,42000 ,56200 ,14900 ,14250 ,38645 
177,120,,28/04/2021,11750 ,35900 ,121900 ,26100 ,33200 ,30150 ,41400 ,56000 ,14900 ,14300 ,38560 
178,121,,29/04/2021,11750 ,35900 ,121900 ,26000 ,33100 ,30250 ,40700 ,55550 ,14950 ,14250 ,38435 
179,122,,30/04/2021,11750 ,35900 ,122000 ,26000 ,33100 ,30200 ,40150 ,55000 ,14950 ,14250 ,38330 
180,,,5/1/2021,11750 ,36010 ,122330 ,25990 ,33050 ,30200 ,40230 ,54810 ,14960 ,14250 ,38358 
181,,,5/2/2021,11750 ,36010 ,122330 ,25990 ,33050 ,30200 ,40230 ,54810 ,14960 ,14250 ,38358 
182,123,,03/05/2021,11750 ,36000 ,122500 ,25950 ,32950 ,30150 ,39900 ,53900 ,14950 ,14250 ,38230 
183,124,,04/05/2021,11750 ,36250 ,122900 ,26000 ,33050 ,30200 ,40150 ,54800 ,15000 ,14250 ,38435 
184,125,,05/05/2021,11750 ,36550 ,123100 ,26050 ,33150 ,30300 ,40300 ,55400 ,15000 ,14250 ,38585 
185,126,,06/05/2021,11750 ,36600 ,123500 ,26050 ,33100 ,30250 ,40950 ,55550 ,15000 ,14250 ,38700 
186,127,,07/05/2021,11750 ,37000 ,124100 ,26100 ,33200 ,30300 ,41100 ,55750 ,15000 ,14250 ,38855 
187,,,5/8/2021,11750 ,37650 ,127630 ,26130 ,33440 ,30410 ,44510 ,58380 ,15040 ,14250 ,39919 
188,,,5/9/2021,11750 ,37650 ,127630 ,26130 ,33440 ,30410 ,44510 ,58380 ,15040 ,14250 ,39919 
189,128,,10/05/2021,11750 ,37950 ,129650 ,26200 ,33650 ,30450 ,47500 ,59800 ,15050 ,14250 ,40625 
190,129,,11/05/2021,11750 ,39050 ,133250 ,26150 ,33800 ,30650 ,48500 ,62400 ,15100 ,14250 ,41490 
191,,,5/12/2021,11750 ,37970 ,126550 ,26060 ,33370 ,30430 ,42920 ,56750 ,15080 ,14260 ,39514 
192,,,5/13/2021,11750 ,37970 ,126550 ,26060 ,33370 ,30430 ,42920 ,56750 ,15080 ,14260 ,39514 
193,,,5/14/2021,11750 ,37970 ,126550 ,26060 ,33370 ,30430 ,42920 ,56750 ,15080 ,14260 ,39514 
194,,May,5/15/2021,11750 ,37970 ,126550 ,26060 ,33370 ,30430 ,42920 ,56750 ,15080 ,14260 ,39514 
195,,,5/16/2021,11750 ,37970 ,126550 ,26060 ,33370 ,30430 ,42920 ,56750 ,15080 ,14260 ,39514 
196,130,,17/05/2021,11750 ,39000 ,127350 ,26050 ,33400 ,30500 ,45350 ,59000 ,15100 ,14250 ,40175 
197,131,,18/05/2021,11750 ,38900 ,126850 ,26000 ,33300 ,30450 ,43500 ,57950 ,15100 ,14250 ,39805 
198,132,,19/05/2021,11750 ,38550 ,126400 ,26000 ,33400 ,30500 ,42000 ,56000 ,15150 ,14350 ,39410 
199,133,,20/05/2021,11750 ,38200 ,125950 ,26000 ,33350 ,30450 ,40450 ,53950 ,15150 ,14250 ,38950 
200,134,,21/05/2021,11750 ,37850 ,125300 ,26000 ,33350 ,30450 ,39500 ,51650 ,15150 ,14250 ,38525 
